VPNID,Language,Time,total_score_arg
AA_PLF_1,P,1,18
AA_PLF_1,Sco,1,15
AA_PLF_1,Sco,2,16
AA_PLF_10,P,1,16
AA_PLF_10,P,2,15
AA_PLF_10,P,3,21
AA_PLF_10,Sco,1,12
AA_PLF_10,Sco,2,13
AA_PLF_11,P,1,9
AA_PLF_11,P,2,4
AA_PLF_11,P,3,14
AA_PLF_11,Sco,1,9
AA_PLF_11,Sco,2,1
AA_PLF_11,Sco,3,15
AA_PLF_12,P,1,8
AA_PLF_12,P,2,7
AA_PLF_12,P,3,11
AA_PLF_12,Sco,1,7
AA_PLF_12,Sco,2,5
AA_PLF_12,Sco,3,13
AA_PLF_13,P,2,20
AA_PLF_13,P,3,19
AA_PLF_13,Sco,1,17
AA_PLF_13,Sco,2,21
AA_PLF_13,Sco,3,22
AA_PLF_2,P,1,21
AA_PLF_2,P,2,20
AA_PLF_2,P,3,22
AA_PLF_2,Sco,1,17
AA_PLF_2,Sco,2,14
AA_PLF_3,P,1,8
AA_PLF_3,P,2,11
AA_PLF_3,Sco,1,6
AA_PLF_4,P,1,20
AA_PLF_4,P,2,21
AA_PLF_4,P,3,19
AA_PLF_4,Sco,1,16
AA_PLF_4,Sco,3,21
AA_PLF_5,P,1,18
AA_PLF_5,P,2,20
AA_PLF_5,P,3,20
AA_PLF_5,Sco,1,10
AA_PLF_5,Sco,2,14
AA_PLF_6,P,1,10
AA_PLF_6,P,2,20
AA_PLF_6,P,3,21
AA_PLF_6,Sco,1,16
AA_PLF_6,Sco,2,18
AA_PLF_6,Sco,3,21
AA_PLF_7,P,1,12
AA_PLF_7,P,2,10
AA_PLF_7,P,3,19
AA_PLF_7,Sco,1,8
AA_PLF_7,Sco,2,8
AA_PLF_7,Sco,3,18
AA_PLF_8,P,1,17
AA_PLF_8,P,2,14
AA_PLF_8,P,3,19
AA_PLF_8,Sco,1,14
AA_PLF_8,Sco,2,9
AA_PLF_8,Sco,3,21
AA_PLF_9,P,1,8
AA_PLF_9,P,3,18
AA_PLF_9,Sco,1,8
AA_PLF_9,Sco,3,16
AB_PLD_1,P,1,7
